Moment,number,web,Name of Provider,Number of Comments,Expected Delivery Time,Minimum Charge Ordering,Cost Delivery,Latitude,Longitude,Typical Traffic Afternoon,Typical Traffic Noon,Typical Traffic Morning,DailyTraffic,ClientLatitude,ClientLongitude,Distance(mts),Time(sec),Time(min)
Morning,1,https://domicilios.com/bogota/kfc-cc-atlantis-plaza.html#menu,KFC ,5329,45,9900,3500,4.66597,-74.05558,Red,Orange,Green,ROG,4.665798,-74.040855,2500,660,11
Morning,1,https://domicilios.com/bogota/kfc-cc-atlantis-plaza.html#menu,KFC ,5329,45,9900,3500,4.66597,-74.05558,Red,Orange,Green,ROG,4.666159,-74.038331,3300,720,12
Morning,1,https://domicilios.com/bogota/kfc-cc-atlantis-plaza.html#menu,KFC ,5329,45,9900,3500,4.66597,-74.05558,Red,Orange,Green,ROG,4.670228,-74.026783,9100,1740,29
Morning,1,https://domicilios.com/bogota/kfc-cc-atlantis-plaza.html#menu,KFC ,5329,45,9900,3500,4.66597,-74.05558,Red,Orange,Green,ROG,4.66214,-74.008008,9700,1740,29
Morning,1,https://domicilios.com/bogota/kfc-cc-atlantis-plaza.html#menu,KFC ,5329,45,9900,3500,4.66597,-74.05558,Red,Orange,Green,ROG,4.669905,-74.104917,8800,1320,22
Morning,1,https://domicilios.com/bogota/kfc-cc-atlantis-plaza.html#menu,KFC ,5329,45,9900,3500,4.66597,-74.05558,Red,Orange,Green,ROG,4.666139,-74.097316,8100,1200,20
Morning,1,https://domicilios.com/bogota/kfc-cc-atlantis-plaza.html#menu,KFC ,5329,45,9900,3500,4.66597,-74.05558,Red,Orange,Green,ROG,4.670006,-74.110454,11300,1500,25
Morning,1,https://domicilios.com/bogota/kfc-cc-atlantis-plaza.html#menu,KFC ,5329,45,9900,3500,4.66597,-74.05558,Red,Orange,Green,ROG,4.664243,-74.042474,2600,720,12
Morning,2,https://domicilios.com/bogota/presto.html#menu,Presto ,10482,45,7900,8300,4.722692,-74.062403,Red,Red,Green,RRG,4.72421,-74.105652,10300,1500,25
Morning,2,https://domicilios.com/bogota/presto.html#menu,Presto ,10482,45,7900,8300,4.722692,-74.062403,Red,Red,Green,RRG,4.725732,-74.074851,5000,600,10
Morning,2,https://domicilios.com/bogota/presto.html#menu,Presto ,10482,45,7900,8300,4.722692,-74.062403,Red,Red,Green,RRG,4.721822,-74.003715,18700,3420,57
Morning,2,https://domicilios.com/bogota/presto.html#menu,Presto ,10482,45,7900,8300,4.722692,-74.062403,Red,Red,Green,RRG,4.724667,-74.12466,11300,1560,26
Morning,2,https://domicilios.com/bogota/presto.html#menu,Presto ,10482,45,7900,8300,4.722692,-74.062403,Red,Red,Green,RRG,4.723268,-74.044073,4000,660,11
Morning,2,https://domicilios.com/bogota/presto.html#menu,Presto ,10482,45,7900,8300,4.722692,-74.062403,Red,Red,Green,RRG,4.722159,-74.079421,2700,480,8
Morning,2,https://domicilios.com/bogota/presto.html#menu,Presto ,10482,45,7900,8300,4.722692,-74.062403,Red,Red,Green,RRG,4.721677,-74.018261,9700,1800,30
Morning,2,https://domicilios.com/bogota/presto.html#menu,Presto ,10482,45,7900,8300,4.722692,-74.062403,Red,Red,Green,RRG,4.725124,-74.040428,4500,780,13
Morning,3,https://domicilios.com/bogota/mcdonalds-1-de-mayo.html#menu,McDonald's ,695,45,NA,3800,4.614063,-74.135149,Orange,Orange,Green,OOG,4.61749,-74.141026,1900,300,5
Morning,3,https://domicilios.com/bogota/mcdonalds-1-de-mayo.html#menu,McDonald's ,695,45,NA,3800,4.614063,-74.135149,Orange,Orange,Green,OOG,4.61196,-74.147317,1700,420,7
Morning,3,https://domicilios.com/bogota/mcdonalds-1-de-mayo.html#menu,McDonald's ,695,45,NA,3800,4.614063,-74.135149,Orange,Orange,Green,OOG,4.613776,-74.114435,3800,600,10
Morning,3,https://domicilios.com/bogota/mcdonalds-1-de-mayo.html#menu,McDonald's ,695,45,NA,3800,4.614063,-74.135149,Orange,Orange,Green,OOG,4.613897,-74.187654,7000,1260,21
Morning,3,https://domicilios.com/bogota/mcdonalds-1-de-mayo.html#menu,McDonald's ,695,45,NA,3800,4.614063,-74.135149,Orange,Orange,Green,OOG,4.614688,-74.095264,6200,900,15
Morning,3,https://domicilios.com/bogota/mcdonalds-1-de-mayo.html#menu,McDonald's ,695,45,NA,3800,4.614063,-74.135149,Orange,Orange,Green,OOG,4.615361,-74.074287,10000,1320,22
Morning,3,https://domicilios.com/bogota/mcdonalds-1-de-mayo.html#menu,McDonald's ,695,45,NA,3800,4.614063,-74.135149,Orange,Orange,Green,OOG,4.618596,-74.064728,10400,1500,25
Morning,3,https://domicilios.com/bogota/mcdonalds-1-de-mayo.html#menu,McDonald's ,695,45,NA,3800,4.614063,-74.135149,Orange,Orange,Green,OOG,4.617686,-74.109447,4500,660,11
Morning,4,https://domicilios.com/bogota/kfc-cedritos.html#menu,KFC ,5329,45,9900,3500,4.720796,-74.039833,Orange,Red,Green,ORG,4.724768,-74.016944,4500,1080,18
Morning,4,https://domicilios.com/bogota/kfc-cedritos.html#menu,KFC ,5329,45,9900,3500,4.720796,-74.039833,Orange,Red,Green,ORG,4.719388,-74.009952,8300,1860,31
Morning,4,https://domicilios.com/bogota/kfc-cedritos.html#menu,KFC ,5329,45,9900,3500,4.720796,-74.039833,Orange,Red,Green,ORG,4.720824,-74.0776,5400,900,15
Morning,4,https://domicilios.com/bogota/kfc-cedritos.html#menu,KFC ,5329,45,9900,3500,4.720796,-74.039833,Orange,Red,Green,ORG,4.723049,-74.037444,500,180,3
Morning,4,https://domicilios.com/bogota/kfc-cedritos.html#menu,KFC ,5329,45,9900,3500,4.720796,-74.039833,Orange,Red,Green,ORG,4.718954,-74.110025,13100,1980,33
Morning,4,https://domicilios.com/bogota/kfc-cedritos.html#menu,KFC ,5329,45,9900,3500,4.720796,-74.039833,Orange,Red,Green,ORG,4.71671,-74.035928,800,180,3
Morning,4,https://domicilios.com/bogota/kfc-cedritos.html#menu,KFC ,5329,45,9900,3500,4.720796,-74.039833,Orange,Red,Green,ORG,4.723988,-74.069233,4500,840,14
Morning,4,https://domicilios.com/bogota/kfc-cedritos.html#menu,KFC ,5329,45,9900,3500,4.720796,-74.039833,Orange,Red,Green,ORG,4.723479,-74.067864,3900,720,12
Morning,5,https://domicilios.com/bogota/kokoriko-galerias.html#menu,Kokoriko ,701,45,10900,4000,4.640661,-74.074293,Orange,Orange,Green,OOG,4.645119,-74.12911,10900,1500,25
Morning,5,https://domicilios.com/bogota/kokoriko-galerias.html#menu,Kokoriko ,701,45,10900,4000,4.640661,-74.074293,Orange,Orange,Green,OOG,4.640998,-74.035271,18800,3240,54
Morning,5,https://domicilios.com/bogota/kokoriko-galerias.html#menu,Kokoriko ,701,45,10900,4000,4.640661,-74.074293,Orange,Orange,Green,OOG,4.644462,-74.072961,900,300,5
Morning,5,https://domicilios.com/bogota/kokoriko-galerias.html#menu,Kokoriko ,701,45,10900,4000,4.640661,-74.074293,Orange,Orange,Green,OOG,4.643789,-74.049048,3400,780,13
Morning,5,https://domicilios.com/bogota/kokoriko-galerias.html#menu,Kokoriko ,701,45,10900,4000,4.640661,-74.074293,Orange,Orange,Green,OOG,4.641654,-74.000739,17800,3000,50
Morning,5,https://domicilios.com/bogota/kokoriko-galerias.html#menu,Kokoriko ,701,45,10900,4000,4.640661,-74.074293,Orange,Orange,Green,OOG,4.641459,-74.046473,3400,780,13
Morning,5,https://domicilios.com/bogota/kokoriko-galerias.html#menu,Kokoriko ,701,45,10900,4000,4.640661,-74.074293,Orange,Orange,Green,OOG,4.640423,-74.016614,16300,2580,43
Morning,5,https://domicilios.com/bogota/kokoriko-galerias.html#menu,Kokoriko ,701,45,10900,4000,4.640661,-74.074293,Orange,Orange,Green,OOG,4.638743,-74.084897,3300,660,11
Morning,6,https://domicilios.com/bogota/jenos-pizza-calle-170.html#menu,Jenos Pizza ,125,35,14900,3500,4.760825,-74.044219,Orange,Orange,Orange,OOO,4.759011,-74.059255,5300,600,10
